Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25812847,Silk Roads,Peter Frankopan,"Frankopan, Peter",,"=""1408839970""","=""9781408839973""",0,4.18,Bloomsbury,Hardcover,636,2015,2015,,2021/02/16,to-read,to-read (#8),to-read,,,,0,0
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465026567""","=""9780465026562""",0,4.29,Basic Books,Paperback,777,1999,1979,,2021/02/16,,,read,,,,1,0
1120120,The Brain,Gerald M. Edelman,"Edelman, Gerald M.",Jean-Pierre Changeux,"=""0765807173""","=""9780765807175""",0,4.00,Transaction Publishers,Paperback,291,2000,2000,,2021/02/16,to-read,to-read (#7),to-read,,,,0,0
1574208,The Mindful Brain: Cortical Organization and the Group-Selective Theory of Higher Brain Function (Mit Press),Gerald M. Edelman,"Edelman, Gerald M.",Vernon B. Mountcastle,"=""0262550075""","=""9780262550079""",0,4.42,The MIT Press,Paperback,106,1982,1978,,2021/02/16,to-read,to-read (#6),to-read,,,,0,0
1120070,The Remembered Present: A Biological Theory of Consciousness,Gerald M. Edelman,"Edelman, Gerald M.",,"=""046506910X""","=""9780465069101""",0,3.84,Basic Books,Hardcover,368,1990,1989,,2021/02/16,to-read,to-read (#5),to-read,,,,0,0
1120114,Wider Than the Sky: The Phenomenal Gift of Consciousness,Gerald M. Edelman,"Edelman, Gerald M.",,"=""0300107617""","=""9780300107616""",0,3.66,Yale University Press,Paperback,224,2005,2004,,2021/02/16,to-read,to-read (#4),to-read,,,,0,0
371182,A Universe of Consciousness: How Matter Becomes Imagination,Gerald M. Edelman,"Edelman, Gerald M.",Giulio Tononi,"=""0465013775""","=""9780465013777""",0,4.04,Basic Books,Paperback,288,2001,2000,,2021/02/16,,,read,,,,1,0
615426,The Empiricists: Locke: Concerning Human Understanding; Berkeley: Principles of Human Knowledge & 3 Dialogues; Hume: Concerning Human Understanding & Concerning Natural Religion,Richard  Taylor,"Taylor, Richard","George Berkeley, David Hume, John Locke","=""0385096224""","=""9780385096225""",5,3.55,Anchor,Paperback,528,1961,1960,,2021/02/16,,,read,,,,1,0
11987,The Myth of Sisyphus and Other Essays,Albert Camus,"Camus, Albert",Justin O'Brien,"=""""","=""""",5,4.22,Vintage International,Paperback,212,1991,1942,,2021/02/16,,,read,,,,1,0
230733,Straw Dogs: Thoughts on Humans and Other Animals,John   Gray,"Gray, John",,"=""1862075964""","=""9781862075962""",0,3.94,Granta Books,Paperback,246,2004,2002,,2021/02/16,,,read,,,,1,0
